"","sum_global_health_1","sum_mental_health_1","sum_physical_health_1","sum_emotional_affliction_1","sum_cognitive_affliction_1","sum_diagnostics_1","sum_physical_activity_1","sum_alcohol_1","sum_smoking_1","sum_jenskin_1","sum_medas_1","sum_ewl_1","sum_soc_1","sum_self_1","sum_pos_relation_1","sum_autonomy_1","sum_context_1","sum_growth_1","sum_purpose_1","sum_purpose_q1","sum_growth_q1","sum_who_qol_1","sum_cognitive_reserve_1","sum_dass_1","sum_depression_1","sum_anxiety_1","sum_stress_1","sum_pittsburgh_1","sum_lubben_1","sum_godin_1","sum_dominance"
"sum_medas_1",0.119173355957768,0.107180146043378,0.116632736150616,0.103770362743261,0.0514337419317855,-0.0091302648336338,0.202057787323522,-0.126638457640238,-0.00197276338077362,-0.0802723530805851,1,0.124575384829962,0.110935772153444,0.108055673694433,0.0816623896433319,0.0965382234400131,0.112851941920492,0.135469911656646,0.149089091714821,0.12961191750626,0.107980429305387,0.163224460645379,0.141116432480226,-0.107617426304906,-0.0974615618763945,-0.112239060222781,-0.09926292782982,-0.0601753123138602,0.0967145700247394,0.110697844361247,0.00786564001385505
"sum_ewl_1",0.451858546331162,0.501584685164311,0.353117539369908,0.402124666506418,0.293323311379755,-0.105629799688356,0.161554099512585,0.0553054419442482,-0.0931765861071099,-0.245367059833325,0.124575384829962,1,0.594517750106347,0.665029757695767,0.428405868168751,0.339058019259696,0.595778888615218,0.468765617839079,0.737428585416951,0.511893612511662,0.396119088442025,0.599711860592406,0.294522231994919,-0.402994656496638,-0.320135112603068,-0.422510383097442,-0.419889369011418,-0.242618555108104,0.339950983897537,0.117849459474762,-0.0242031903176873
"sum_soc_1",0.455035093129669,0.499048730400495,0.34189195084147,0.528302058272887,0.427405487381926,-0.152572885040178,0.124034834599504,0.0810039111427957,-0.0785726561508558,-0.328438884257254,0.110935772153444,0.594517750106347,1,0.698599490393392,0.492337182918804,0.415007352466041,0.667149507022604,0.396585416498938,0.654974996593613,0.446467846193626,0.313485361589962,0.592955565553973,0.239860717961932,-0.595378234106068,-0.520572538686986,-0.600602531627815,-0.595729719551319,-0.354974658415789,0.346380323528924,0.0844720512645371,-0.0441254966904788
"sum_self_1",0.487777720662434,0.540573186864324,0.371935058047347,0.444359958863274,0.338387520503021,-0.115599244077129,0.139864537370736,0.0736663686713358,-0.0628971568082368,-0.286154195109771,0.108055673694433,0.665029757695767,0.698599490393392,1,0.504687020599489,0.424426796574336,0.651449402860386,0.476383966904804,0.784896736260621,0.482013991499479,0.404581955903865,0.64406549038198,0.270565227260041,-0.519169406608611,-0.423144446041937,-0.529355437453528,-0.547434339341061,-0.311522986498157,0.354835950945773,0.0850198042308017,-0.0181126488219562
"sum_pos_relation_1",0.31739894181873,0.378690785869363,0.228675506656503,0.263590259954223,0.202478345811103,-0.0675132742227325,0.0959348285294415,0.0771495610637607,-0.071060412720755,-0.185120730375147,0.0816623896433319,0.428405868168751,0.492337182918804,0.504687020599489,1,0.290189584767931,0.449079138248543,0.435920067213057,0.475093772641697,0.331067859471992,0.313324263751774,0.439638951647335,0.408838348830757,-0.317238151709061,-0.250244896923659,-0.320943459378785,-0.347106905178201,-0.177537068526629,0.582031576659181,0.0632271091551744,-0.0177901625425436
"sum_autonomy_1",0.225391185851514,0.270349295236277,0.150415796386624,0.244120072500536,0.279478215786434,-0.0126673151266212,0.0508630815423621,0.0388659293345057,-0.0275613122165831,-0.142852943951963,0.0965382234400131,0.339058019259696,0.415007352466041,0.424426796574336,0.290189584767931,1,0.429323063853023,0.276867151921145,0.354557803071661,0.213737389528894,0.215805891330458,0.29040786554085,0.163883156220549,-0.29350561776973,-0.269445198131826,-0.288937114159347,-0.288039208264814,-0.169122151248185,0.186853843122055,0.0701862035613588,-0.0342968881620457
"sum_context_1",0.429681291849433,0.466010674168172,0.333058088595743,0.427206187188752,0.337142005199022,-0.135176980628314,0.173784964371421,0.0527683507734816,-0.0602832493125095,-0.276488198245913,0.112851941920492,0.595778888615218,0.667149507022604,0.651449402860386,0.449079138248543,0.429323063853023,1,0.488107343594102,0.655838562261461,0.453873081824744,0.374845326180555,0.52575509664359,0.27286949873551,-0.470833743909476,-0.396427078829847,-0.485223492723314,-0.475624969119874,-0.269360666075569,0.309711112055921,0.107077742190711,-0.00968837135444269
"sum_growth_1",0.253001670090617,0.276977191114643,0.21092594206682,0.200529330352205,0.202776795776678,-0.033076986252695,0.135793452051595,0.0468739340122546,-0.0792979412159014,-0.111065476333261,0.135469911656646,0.468765617839079,0.396585416498938,0.476383966904804,0.435920067213057,0.276867151921145,0.488107343594102,1,0.536038857466248,0.479347045151671,0.572263295811875,0.359345284628941,0.369971784693229,-0.264019396156818,-0.195783783937399,-0.277833804620157,-0.289654966443746,-0.128852653113232,0.296373602308576,0.0910513180157866,0.0542348544220376
"sum_purpose_1",0.443475618858868,0.486655176439472,0.354264075543393,0.401562326379984,0.308624262004003,-0.0960666837268335,0.155500901085208,0.0840424766419324,-0.0951063261152767,-0.250379519633128,0.149089091714821,0.737428585416951,0.654974996593613,0.784896736260621,0.475093772641697,0.354557803071661,0.655838562261461,0.536038857466248,1,0.619984470261317,0.432365118279708,0.592477514705278,0.302870329714916,-0.455477996849708,-0.355364073842632,-0.475754920026426,-0.484141311832423,-0.238979482439685,0.344719422141996,0.0925379246055311,-0.0194193380913266
"sum_purpose_q1",0.355830856440511,0.395995423258563,0.283558902630999,0.336912025489767,0.29492760331312,-0.100701444493983,0.160836668144395,0.0628026676148189,-0.112082916205693,-0.225743362982559,0.12961191750626,0.511893612511662,0.446467846193626,0.482013991499479,0.331067859471992,0.213737389528894,0.453873081824744,0.479347045151671,0.619984470261317,1,0.55912947628268,0.398002156450347,0.291558432531863,-0.304346775017583,-0.218898879339211,-0.324345066710662,-0.336524248430017,-0.165975193468386,0.243842228247457,0.0944525568487177,0.0179246880041888
