"","id_user","sec_difference"
"595",52350,201
"596",65823,201
"597",67846,201
"598",67919,201
"599",71600,201
"600",74784,201
"601",93867,201
"602",124826,201
"603",131104,201
"604",135782,201
"605",145210,201
"606",151965,201
"607",58299,202
"608",60503,202
"609",74830,202
"610",96715,202
"611",97645,202
"612",102910,202
"613",152966,202
"614",154542,202
"615",161176,202
"616",169783,202
"617",177011,202
"618",181180,202
"619",187885,202
"620",48960,203
"621",53188,203
"622",60984,203
"623",72676,203
"624",88179,203
"625",90657,203
"626",103868,203
"627",107304,203
"628",124273,203
"629",146694,203
"630",148798,203
"631",46421,204
"632",50166,204
"633",50630,204
"634",52223,204
"635",59324,204
"636",69307,204
"637",70104,204
"638",82025,204
"639",84463,204
"640",97579,204
"641",100218,204
"642",108686,204
"643",109714,204
"644",113950,204
"645",121820,204
"646",126382,204
"647",140337,204
"648",141544,204
"649",149549,204
"650",151795,204
"651",174256,204
"652",190755,204
"653",206672,204
"654",207090,204
"655",48021,205
"656",49541,205
"657",74448,205
"658",101639,205
"659",103078,205
"660",123736,205
"661",140482,205
"662",141130,205
"663",151426,205
"664",189313,205
"665",193416,205
"666",194349,205
"667",53810,206
"668",58962,206
"669",59461,206
"670",78239,206
"671",102332,206
"672",109721,206
"673",139628,206
"674",157724,206
"675",163479,206
"676",209736,206
"677",52481,207
"678",58969,207
"679",61180,207
"680",63107,207
"681",66826,207
"682",82864,207
"683",91640,207
"684",127470,207
"685",127995,207
"686",151273,207
"687",182194,207
"688",183074,207
"689",80116,208
"690",104526,208
"691",137706,208
"692",177758,208
"693",200998,208
"694",205939,208
"695",209233,208
"696",49738,209
"697",55243,209
"698",56605,209
"699",61850,209
"700",63973,209
"701",71850,209
"702",87856,209
"703",103005,209
"704",107701,209
"705",124658,209
"706",125382,209
"707",129156,209
"708",137533,209
"709",149028,209
"710",157811,209
"711",176674,209
"712",177912,209
"713",182531,209
"714",184441,209
"715",199239,209
"716",45904,210
"717",49745,210
"718",58746,210
"719",76381,210
"720",130379,210
"721",151674,210
"722",156971,210
"723",162766,210
"724",169589,210
"725",201035,210
"726",206365,210
"727",53078,211
"728",67615,211
"729",70111,211
"730",121166,211
"731",132901,211
"732",133793,211
"733",151702,211
"734",151752,211
"735",181106,211
"736",193475,211
"737",49774,212
"738",65369,212
"739",91478,212
"740",92601,212
"741",133021,212
"742",137801,212
"743",147687,212
"744",160567,212
"745",169222,212
"746",192042,212
"747",194145,212
"748",197013,212
"749",208247,212
"750",49390,213
"751",53028,213
"752",54791,213
"753",57173,213
"754",64819,213
"755",80897,213
"756",90023,213
"757",106021,213
"758",118086,213
"759",134084,213
"760",134368,213
"761",147066,213
"762",154102,213
"763",193854,213
"764",43785,214
"765",61130,214
"766",61456,214
"767",76494,214
"768",89125,214
"769",94074,214
"770",99254,214
"771",100910,214
"772",106269,214
"773",108862,214
"774",126182,214
"775",128578,214
"776",129113,214
"777",137927,214
"778",147406,214
"779",169415,214
"780",180426,214
"781",182009,214
"782",195890,214
"783",46463,215
"784",50029,215
"785",58101,215
"786",60088,215
"787",80474,215
"788",124280,215
"789",150438,215
"790",155323,215
"791",158568,215
"792",162145,215
"793",167865,215
"794",194313,215
"795",197975,215
"796",203371,215
"797",74520,216
"798",78769,216
"799",81856,216
"800",102039,216
"801",102699,216
"802",120557,216
"803",122174,216
"804",133667,216
"805",151902,216
"806",175525,216
"807",176899,216
"808",201243,216
"809",206559,216
"810",207205,216
"811",46709,217
"812",47427,217
"813",72420,217
"814",80035,217
"815",83350,217
"816",115613,217
"817",120140,217
"818",141284,217
"819",144571,217
"820",164823,217
"821",52744,218
"822",60882,218
"823",65267,218
"824",65925,218
"825",71385,218
"826",107993,218
"827",113943,218
"828",133758,218
"829",136831,218
"830",137053,218
"831",140216,218
"832",142904,218
"833",154081,218
"834",168638,218
"835",189349,218
"836",197256,218
"837",47103,219
"838",49854,219
"839",62627,219
"840",71171,219
"841",96226,219
"842",107902,219
"843",115650,219
"844",123603,219
"845",124426,219
"846",129321,219
"847",145736,219
"848",161074,219
"849",179422,219
"850",42173,220
"851",46006,220
"852",54448,220
"853",57776,220
"854",60029,220
"855",60809,220
"856",72339,220
"857",79850,220
"858",92418,220
"859",105142,220
"860",178385,220
"861",188984,220
"862",47160,221
"863",47301,221
"864",50863,221
"865",55743,221
"866",55750,221
"867",57908,221
"868",58277,221
"869",67059,221
"870",72997,221
"871",76425,221
"872",118358,221
"873",166702,221
"874",172361,221
"875",178092,221
"876",191816,221
"877",61968,222
"878",62554,222
"879",68280,222
"880",72289,222
"881",92141,222
"882",100282,222
"883",125316,222
"884",126020,222
"885",127010,222
"886",140619,222
"887",161125,222
"888",181424,222
"889",210250,222
"890",110639,223
"891",117724,223
"892",118260,223
"893",129011,223
"894",131393,223
"895",136741,223
"896",139956,223
"897",152030,223
"898",159337,223
"899",160351,223
"900",66071,224
"901",67184,224
"902",89499,224
"903",91134,224
"904",99283,224
"905",120427,224
"906",124213,224
"907",125242,224
"908",162866,224
"909",178776,224
"910",207083,224
"911",44010,225
"912",64117,225
"913",96330,225
"914",127106,225
"915",134038,225
"916",159373,225
"917",160218,225
"918",173080,225
"919",178957,225
"920",46600,226
"921",54828,226
"922",55026,226
"923",73744,226
"924",74895,226
"925",98156,226
"926",102670,226
"927",120777,226
"928",126013,226
"929",128767,226
"930",137338,226
"931",149000,226
"932",160134,226
"933",175074,226
"934",51350,227
"935",61836,227
"936",63078,227
"937",70808,227
"938",87849,227
"939",93629,227
"940",103107,227
"941",108289,227
"942",144280,227
"943",165252,227
"944",170452,227
"945",177382,227
"946",201838,227
"947",55853,228
"948",67715,228
"949",91743,228
"950",102442,228
"951",105720,228
"952",122694,228
"953",124744,228
"954",131549,228
"955",162155,228
"956",169856,228
"957",177982,228
"958",196118,228
"959",47742,229
"960",61521,229
"961",66407,229
"962",78331,229
"963",80321,229
"964",98230,229
"965",103956,229
"966",110668,229
"967",131750,229
"968",153978,229
"969",158678,229
"970",64805,230
"971",91552,230
"972",106065,230
"973",108988,230
"974",135275,230
"975",144369,230
"976",146935,230
"977",149735,230
"978",150548,230
"979",152697,230
"980",169971,230
"981",179672,230
"982",181717,230
"983",189230,230
"984",207903,230
"985",48678,231
"986",56352,231
"987",60292,231
"988",60606,231
"989",61056,231
"990",69801,231
"991",78935,231
"992",91435,231
"993",93250,231
"994",108428,231
"995",140828,231
"996",156060,231
"997",204326,231
"998",79741,232
"999",82280,232
"1000",84243,232
"1001",87094,232
"1002",88626,232
"1003",93229,232
"1004",97044,232
"1005",118426,232
"1006",142636,232
"1007",152500,232
"1008",49077,233
"1009",54505,233
"1010",56273,233
"1011",58948,233
"1012",63856,233
"1013",73875,233
"1014",86712,233
"1015",118462,233
"1016",126086,233
"1017",134077,233
"1018",143175,233
"1019",150700,233
"1020",155075,233
"1021",166125,233
"1022",182345,233
"1023",199212,233
"1024",206051,233
"1025",54826,234
"1026",63403,234
"1027",103151,234
"1028",109369,234
"1029",140656,234
"1030",148403,234
"1031",154631,234
"1032",156632,234
"1033",168515,234
"1034",207494,234
"1035",46943,235
"1036",48473,235
"1037",58598,235
"1038",75431,235
"1039",77130,235
"1040",77820,235
"1041",121173,235
"1042",123077,235
"1043",125213,235
"1044",141181,235
"1045",152937,235
"1046",153170,235
"1047",153199,235
"1048",158192,235
"1049",181776,235
"1050",50348,236
"1051",63180,236
"1052",66156,236
"1053",69109,236
"1054",73159,236
"1055",77402,236
"1056",79748,236
"1057",89821,236
"1058",108751,236
"1059",118886,236
"1060",138216,236
"1061",141350,236
"1062",177701,236
"1063",205961,236
"1064",42732,237
"1065",67933,237
"1066",77269,237
"1067",81568,237
"1068",123365,237
"1069",147217,237
"1070",156275,237
"1071",159565,237
"1072",174197,237
"1073",73808,238
"1074",87669,238
"1075",110398,238
"1076",130934,238
"1077",155068,238
"1078",157545,238
"1079",158402,238
"1080",175370,238
"1081",200740,238
"1082",42276,239
"1083",47521,239
"1084",47905,239
"1085",55404,239
"1086",71311,239
"1087",90752,239
"1088",106584,239
"1089",115882,239
"1090",123164,239
"1091",168362,239
"1092",60118,240
"1093",68871,240
"1094",109559,240
"1095",112803,240
"1096",138032,240
"1097",155733,240
"1098",166811,240
"1099",188874,240
"1100",206679,240
"1101",209047,240
"1102",52474,241
"1103",59402,241
"1104",61013,241
"1105",62333,241
"1106",71280,241
"1107",83743,241
"1108",86954,241
"1109",90855,241
"1110",92273,241
"1111",92889,241
"1112",92970,241
"1113",99001,241
"1114",99519,241
"1115",106226,241
"1116",140700,241
"1117",148208,241
"1118",162162,241
"1119",174740,241
"1120",175899,241
"1121",185159,241
"1122",49936,242
"1123",71392,242
"1124",72975,242
"1125",73801,242
"1126",77578,242
"1127",82607,242
"1128",93533,242
"1129",102775,242
"1130",110209,242
"1131",119292,242
"1132",128948,242
"1133",136766,242
"1134",142246,242
"1135",146397,242
"1136",148738,242
"1137",178573,242
"1138",208923,242
"1139",56391,243
"1140",76530,243
"1141",79287,243
"1142",89543,243
"1143",104102,243
"1144",119934,243
"1145",129181,243
"1146",131975,243
"1147",133588,243
"1148",140777,243
"1149",140799,243
"1150",153104,243
"1151",168942,243
"1152",50623,244
"1153",53107,244
"1154",73228,244
"1155",75615,244
"1156",83940,244
"1157",91302,244
"1158",108855,244
"1159",135848,244
"1160",150611,244
"1161",154825,244
"1162",180500,244
"1163",192586,244
"1164",202879,244
"1165",207545,244
"1166",50967,245
"1167",51841,245
"1168",55542,245
"1169",71579,245
"1170",86143,245
"1171",105949,245
"1172",108112,245
"1173",109177,245
"1174",140106,245
"1175",147444,245
"1176",175926,245
"1177",179928,245
"1178",192351,245
"1179",193992,245
"1180",196710,245
"1181",198525,245
"1182",198813,245
"1183",42547,246
"1184",45803,246
"1185",73508,246
"1186",80525,246
"1187",82169,246
"1188",103736,246
"1189",104364,246
"1190",129127,246
"1191",159681,246
"1192",46557,247
"1193",78433,247
"1194",80424,247
"1195",92214,247
"1196",95715,247
"1197",100581,247
"1198",136853,247
"1199",151888,247
"1200",158409,247
"1201",176531,247
"1202",192217,247
"1203",79309,248
"1204",87241,248
"1205",89536,248
"1206",133473,248
"1207",141955,248
"1208",154067,248
"1209",163992,248
"1210",170165,248
"1211",170239,248
"1212",193300,248
"1213",58160,249
"1214",61763,249
"1215",71586,249
"1216",87064,249
"1217",98591,249
"1218",119830,249
"1219",149335,249
"1220",176757,249
"1221",182053,249
"1222",43852,250
"1223",47359,250
"1224",63173,250
"1225",90635,250
"1226",107482,250
"1227",111094,250
"1228",134123,250
"1229",136404,250
"1230",141485,250
"1231",160076,250
"1232",186458,250
"1233",194517,250
"1234",202539,250
"1235",49950,251
"1236",50000,251
"1237",54148,251
"1238",57113,251
"1239",63100,251
"1240",69641,251
"1241",97389,251
"1242",105552,251
"1243",108722,251
"1244",136654,251
"1245",140113,251
"1246",140678,251
"1247",151773,251
"1248",153265,251
"1249",161688,251
"1250",162437,251
"1251",188052,251
"1252",203676,251
"1253",97153,252
"1254",120353,252
"1255",152704,252
"1256",156752,252
"1257",164503,252
"1258",185961,252
"1259",54628,253
"1260",56163,253
"1261",59679,253
"1262",74506,253
"1263",77725,253
"1264",80335,253
"1265",90502,253
"1266",97190,253
"1267",98518,253
"1268",100765,253
"1269",121715,253
"1270",141580,253
"1271",156717,253
"1272",164541,253
"1273",165027,253
"1274",180701,253
"1275",180831,253
"1276",56022,254
"1277",59409,254
"1278",61230,254
"1279",66605,254
"1280",77813,254
"1281",121404,254
"1282",124568,254
"1283",127248,254
"1284",170474,254
"1285",177078,254
"1286",46808,255
"1287",56097,255
"1288",73685,255
"1289",80560,255
"1290",92403,255
"1291",95970,255
"1292",101012,255
"1293",104021,255
"1294",149805,255
"1295",159351,255
"1296",164677,255
"1297",48378,256
"1298",48787,256
"1299",54370,256
"1300",58167,256
"1301",64346,256
"1302",79037,256
"1303",81820,256
"1304",104314,256
"1305",106970,256
"1306",127032,256
"1307",132461,256
"1308",147238,256
"1309",183251,256
"1310",194758,256
"1311",55005,257
"1312",60525,257
"1313",75622,257
"1314",89037,257
"1315",92918,257
"1316",93141,257
"1317",101019,257
"1318",150938,257
"1319",161439,257
"1320",172563,257
"1321",197927,257
"1322",79044,258
"1323",99885,258
"1324",103349,258
"1325",149587,258
"1326",150907,258
"1327",155446,258
"1328",47203,259
"1329",48014,259
"1330",54926,259
"1331",61741,259
"1332",67806,259
"1333",68353,259
"1334",75761,259
"1335",88706,259
"1336",101841,259
"1337",103985,259
"1338",107537,259
"1339",131859,259
"1340",189098,259
"1341",201313,259
"1342",48028,260
"1343",51040,260
"1344",79118,260
"1345",87050,260
"1346",90451,260
"1347",98303,260
"1348",138263,260
"1349",48903,261
"1350",54586,261
"1351",150493,261
"1352",167967,261
"1353",47496,262
"1354",52557,262
"1355",55652,262
"1356",87878,262
"1357",92543,262
"1358",95751,262
"1359",107829,262
"1360",124117,262
"1361",148481,262
"1362",152310,262
"1363",159253,262
"1364",164214,262
"1365",175031,262
"1366",192971,262
"1367",203669,262
"1368",55918,263
"1369",75393,263
"1370",78032,263
"1371",91214,263
"1372",126212,263
"1373",135322,263
"1374",71688,264
"1375",104633,264
"1376",110814,264
"1377",123018,264
"1378",123157,264
"1379",132340,264
"1380",145729,264
"1381",186660,264
"1382",195589,264
"1383",198245,264
"1384",202112,264
"1385",46181,265
"1386",54840,265
"1387",60408,265
"1388",81827,265
"1389",84250,265
"1390",173028,265
"1391",52255,266
"1392",62713,266
"1393",107606,266
"1394",134885,266
"1395",139306,266
"1396",140978,266
"1397",163410,266
"1398",164906,266
"1399",181912,266
"1400",200925,266
"1401",68740,267
"1402",83750,267
"1403",87293,267
"1404",100204,267
"1405",104801,267
"1406",135922,267
"1407",141291,267
"1408",151367,267
"1409",183382,267
"1410",187086,267
"1411",46543,268
"1412",50093,268
"1413",55257,268
"1414",56847,268
"1415",59133,268
"1416",62525,268
"1417",66555,268
"1418",78651,268
"1419",102135,268
"1420",107253,268
"1421",113819,268
"1422",205205,268
"1423",55772,269
"1424",57533,269
"1425",59333,269
"1426",78899,269
"1427",110479,269
"1428",158008,269
"1429",166789,269
"1430",54037,270
"1431",89239,270
"1432",102768,270
"1433",113901,270
"1434",169479,270
"1435",188344,270
"1436",196111,270
"1437",57371,271
"1438",60145,271
"1439",108083,271
"1440",108326,271
"1441",115672,271
"1442",185225,271
"1443",189444,271
"1444",66122,272
"1445",71894,272
"1446",89814,272
"1447",92882,272
"1448",98774,272
"1449",100247,272
"1450",121381,272
"1451",123408,272
"1452",142123,272
"1453",152078,272
"1454",152881,272
"1455",161537,272
"1456",173739,272
"1457",56796,273
"1458",72705,273
"1459",87167,273
"1460",97513,273
"1461",118232,273
"1462",164846,273
"1463",178335,273
"1464",185616,273
"1465",58321,274
"1466",75020,274
"1467",101093,274
"1468",106153,274
"1469",135312,274
"1470",139495,274
"1471",161461,274
"1472",165472,274
"1473",186392,274
"1474",196272,274
"1475",43422,275
"1476",61252,275
"1477",80883,275
"1478",81627,275
"1479",132722,275
"1480",133495,275
"1481",158332,275
"1482",169516,275
"1483",180824,275
"1484",57915,276
"1485",64685,276
"1486",87625,276
"1487",99703,276
"1488",120624,276
"1489",135083,276
"1490",195692,276
"1491",210004,276
"1492",56207,277
"1493",77834,277
"1494",78637,277
"1495",89941,277
"1496",91845,277
"1497",101219,277
"1498",103085,277
"1499",105223,277
"1500",143340,277
"1501",148344,277
"1502",150649,277
"1503",158521,277
"1504",169124,277
"1505",198428,277
"1506",202267,277
"1507",207706,277
"1508",65175,278
"1509",131743,278
"1510",145664,278
"1511",181869,278
"1512",51099,279
"1513",75594,279
"1514",104771,279
"1515",116054,279
"1516",122364,279
"1517",128826,279
"1518",137489,279
"1519",141061,279
"1520",141656,279
"1521",194677,279
"1522",208096,279
"1523",47927,280
"1524",63915,280
"1525",125937,280
"1526",158575,280
"1527",158957,280
"1528",176408,280
"1529",209803,280
"1530",89902,281
"1531",127323,281
"1532",139363,281
"1533",142592,281
"1534",154738,281
"1535",166734,281
"1536",61756,282
"1537",63591,282
"1538",68985,282
"1539",77409,282
"1540",78565,282
"1541",136503,282
"1542",165168,282
"1543",168667,282
"1544",186903,282
"1545",209182,282
"1546",57503,283
"1547",60875,283
"1548",67576,283
"1549",75210,283
"1550",77123,283
"1551",88025,283
"1552",94674,283
"1553",100225,283
"1554",108105,283
"1555",113703,283
"1556",133744,283
"1557",150872,283
"1558",182353,283
"1559",187123,283
"1560",201539,283
"1561",52564,284
"1562",57606,284
"1563",64485,284
"1564",83063,284
"1565",94886,284
"1566",108780,284
"1567",125220,284
"1568",151872,284
"1569",188852,284
"1570",201360,284
"1571",43605,285
"1572",46971,285
"1573",58511,285
"1574",61296,285
"1575",65333,285
"1576",87123,285
"1577",95831,285
"1578",122958,285
"1579",145722,285
"1580",152609,285
"1581",195530,285
"1582",65397,286
"1583",80079,286
"1584",88366,286
"1585",123306,286
"1586",136286,286
"1587",145715,286
"1588",164094,286
"1589",200973,286
"1590",74805,287
"1591",102969,287
"1592",105017,287
"1593",124894,287
"1594",192877,287
"1595",44633,288
"1596",49216,288
"1597",62297,288
"1598",66473,288
"1599",73751,288
"1600",104710,288
"1601",202403,288
"1602",42525,289
"1603",77806,289
"1604",93741,289
"1605",102998,289
"1606",186121,289
"1607",187619,289
"1608",50022,290
"1609",64241,290
"1610",128716,290
"1611",135544,290
"1612",162729,290
"1613",181686,290
"1614",79594,291
"1615",80994,291
"1616",96853,291
"1617",110296,291
"1618",122718,291
"1619",128530,291
"1620",133436,291
"1621",159849,291
"1622",199353,291
"1623",201815,291
"1624",202980,291
"1625",207552,291
"1626",48946,292
"1627",55411,292
"1628",56663,292
"1629",60446,292
"1630",65881,292
"1631",100648,292
"1632",118913,292
"1633",188611,292
"1634",193365,292
"1635",79976,293
"1636",92170,293
"1637",93436,293
"1638",97330,293
"1639",130285,293
"1640",139963,293
"1641",153075,293
"1642",68600,294
"1643",73692,294
"1644",80539,294
"1645",96084,294
"1646",105596,294
"1647",106160,294
"1648",109641,294
"1649",112380,294
"1650",134448,294
"1651",136570,294
"1652",152072,294
"1653",174328,294
"1654",177803,294
"1655",189619,294
